1	0
2	0
3	0
4	1.19209e-07
5	1.19209e-07
6	1.19209e-07
7	1.19209e-07
8	5.96046e-08
9	5.96046e-08
10	0
11	0
12	1.19209e-07
13	0
14	0
15	1.19209e-07
16	1.19209e-07
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	5.96046e-08
29	0
30	0
31	0
32	0
33	0
34	1.19209e-07
35	1.19209e-07
36	0
37	1.19209e-07
38	0
39	1.19209e-07
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	1.19209e-07
48	0
49	1.19209e-07
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	1.19209e-07
58	0
59	0
60	1.19209e-07
61	1.19209e-07
62	1.19209e-07
63	1.19209e-07
64	1.19209e-07
65	1.19209e-07
66	1.19209e-07
67	1.78814e-07
68	1.19209e-07
69	1.78814e-07
70	1.19209e-07
71	1.19209e-07
72	1.19209e-07
73	1.19209e-07
74	1.19209e-07
75	1.19209e-07
76	1.19209e-07
77	1.19209e-07
78	1.78814e-07
79	1.78814e-07
80	1.19209e-07
81	1.19209e-07
82	1.78814e-07
83	1.19209e-07
84	1.19209e-07
85	1.19209e-07
86	1.19209e-07
87	1.19209e-07
88	0
89	1.19209e-07
90	1.78814e-07
91	1.78814e-07
92	1.78814e-07
93	1.78814e-07
94	1.78814e-07
95	1.78814e-07
96	1.19209e-07
97	1.19209e-07
98	1.19209e-07
99	1.19209e-07
100	1.78814e-07
